lat,lon,state,county,site_name
18.009558,-66.627249,Puerto Rico,Ponce,RESIDENTIAL AREA
18.198712,-66.052237,Puerto Rico,Caguas,
18.383983,-65.618888,Puerto Rico,Fajardo,Fajardo
18.420089,-66.150615,Puerto Rico,Bayamon,Bayamon
18.440095,-66.11446,Puerto Rico,Guaynabo,Guaynabo
19.060655,-155.579159,Hawaii,Hawaii,Naalehu-TS
19.117561,-155.778136,Hawaii,Hawaii,HOVE
19.2039,-155.480183,Hawaii,Hawaii,Pahala
19.4308,-155.2578,Hawaii,Hawaii,Hawaii Volcanoes NP - Kilauea Visitors Center
19.509778,-155.913417,Hawaii,Hawaii,Kona
19.555444,-155.102028,Hawaii,Hawaii,Mountain View 23
19.611914,-155.055037,Hawaii,Hawaii,KS Hawaii
19.618158,-155.971242,Hawaii,Hawaii,Kailua-Kona
19.717562,-155.11053,Hawaii,Hawaii,Hilo
19.977467,-155.798067,Hawaii,Hawaii,Waikoloa
20.869627,-156.493626,Hawaii,Maui,Kahului
21.303382,-157.871171,Hawaii,Honolulu,Sand Island
21.30758,-157.85542,Hawaii,Honolulu,Honolulu
21.323745,-158.088613,Hawaii,Honolulu,Kapolei
25.471944,-80.482778,Florida,Miami-Dade,HOMESTEAD FIRE STATION
25.794222,-80.215556,Florida,Miami-Dade,Miami Fire Station
25.900911,-97.507783,Texas,Cameron,Brownsville East 6th Street
25.941944,-80.326389,Florida,Miami-Dade,Palm Springs Fire Station
26.053889,-80.256944,Florida,Broward,Daniela Banu NCORE
26.0711,-97.1577,Texas,Cameron,Isla Blanca State Park Road
26.073536,-80.33845,Florida,Broward,Vista View Park
26.132677,-80.169817,Florida,Broward,Near Road - Fort Lauderdale
26.288622,-98.152066,Texas,Hidalgo,Edinburg East Freddy Gonzalez Drive
26.291088,-80.096353,Florida,Broward,Pompano Highlands
26.294167,-80.176389,Florida,Broward,Coconut Creek
26.456944,-80.092778,Florida,Palm Beach,DELRAY BEACH
26.687606,-80.219619,Florida,Palm Beach,Lamstein Lane
26.724786,-80.666447,Florida,Palm Beach,Belle Glade
27.172458,-80.240689,Florida,Martin,Stuart
27.290556,-82.507222,Florida,Sarasota,Bee Ridge Park
27.422433,-97.300869,Texas,Kleberg,National Seashore
27.599444,-99.533333,Texas,Webb,World Trade Bridge
27.785866,-82.739875,Florida,Pinellas,Azalea Park
27.804489,-97.431553,Texas,Nueces,Corpus Christi Huisache
27.811817,-97.465703,Texas,Nueces,Dona Park
27.946688,-82.731767,Florida,Pinellas,St. Petersburg College
27.955133,-82.469532,Florida,Hillsborough,Munro Street (Near-Road)
27.96565,-82.2304,Florida,Hillsborough,SYDNEY
28.028889,-81.972222,Florida,Polk,Baptist Childrens' Home
28.053611,-80.628611,Florida,Brevard,Melbourne
28.596389,-81.3625,Florida,Orange,WINTER PARK
28.704607,-100.451156,Texas,Maverick,Eagle Pass
28.746111,-81.310556,Florida,Seminole,Sanford (Seminole Community College)
28.964394,-95.354974,Texas,Brazoria,Freeport South Avenue I
29.162997,-98.589158,Texas,Atascosa,Von Ormy Highway 16
29.206667,-81.0525,Florida,Volusia,DAYTONA BLIND SERVICES
29.254474,-94.861289,Texas,Galveston,Galveston 99th Street
29.275381,-98.311692,Texas,Bexar,Calaveras Lake
29.30265,-103.17781,Texas,Brewster,Big Bend NP
29.51509,-98.620166,Texas,Bexar,San Antonio Northwest
29.529432,-98.391403,Texas,Bexar,San Antonio Interstate 35
29.566112,-82.26608,Florida,Alachua,Paynes Prairie Farm
29.583047,-95.015544,Texas,Harris,Seabrook Friendship Park
29.670025,-95.128508,Texas,Harris,Houston Deer Park #2
29.679301,-90.779731,Louisiana,Terrebonne,Houma
29.695729,-95.499219,Texas,Harris,Houston Bayland Park
29.723333,-95.635833,Texas,Harris,Houston Westhollow
29.733726,-95.257593,Texas,Harris,Clinton
29.767997,-95.220582,Texas,Harris,Houston East
29.770698,-95.031232,Texas,Harris,Baytown
29.81453,-95.38769,Texas,Harris,Houston North Loop
29.828086,-95.284096,Texas,Harris,Houston North Wayside
29.863957,-94.317802,Texas,Jefferson,Hamshire
29.900314,-90.109836,Louisiana,Jefferson,Marrero
29.901036,-95.326137,Texas,Harris,Houston Aldine
29.922894,-93.909018,Texas,Jefferson,Port Arthur Memorial School
29.943164,-89.97625,Louisiana,St. Bernard,Chalmette Vista
29.996013,-90.11819,Louisiana,Orleans,I-610
30.041238,-90.272826,Louisiana,Jefferson,Kenner
30.135797,-81.633981,Florida,Duval,Mandarin
30.194167,-93.866944,Texas,Orange,
30.203984,-91.125925,Louisiana,Iberville,Geismar
30.22611,-92.042908,Louisiana,Lafayette,Lafayette / USGS
30.227798,-93.579965,Louisiana,Calcasieu,Vinton
30.262347,-93.284906,Louisiana,Calcasieu,Westlake
30.262778,-81.606833,Florida,Duval,Pepsi Place
30.263204,-97.712891,Texas,Travis,Austin Webberville Rd
30.300833,-89.395916,Mississippi,Hancock,Waveland
30.350302,-95.425128,Texas,Montgomery,Conroe Relocated
30.35386,-97.69166,Texas,Travis,Austin North Interstate 35
30.354722,-81.547778,Florida,Duval,Sunny Acres
30.354944,-97.761803,Texas,Travis,Austin North Hills Drive
30.378287,-88.53393,Mississippi,Jackson,Pascagoula
30.390369,-89.049778,Mississippi,Harrison,Gulfport Youth Court
30.439722,-84.346389,Florida,Leon,Tallahassee Community College
30.461981,-91.179219,Louisiana,East Baton Rouge,Capitol
30.497478,-87.880258,Alabama,Baldwin,"FAIRHOPE, Alabama"
30.500642,-91.213556,Louisiana,West Baton Rouge,Port Allen
30.503287,-90.377212,Louisiana,Tangipahoa,Hammond
30.525367,-87.20355,Florida,Escambia,Ellyson Industrial Park
30.628333,-96.362777,Texas,Brazos,Bryan Finfeather Road
30.770181,-88.087761,Alabama,Mobile,CHICKASAW
30.8486,-83.2933,Georgia,Lowndes,Valdosta
31.122419,-97.431052,Texas,Bell,Temple Georgia
31.169805,-81.495035,Georgia,Glynn,Brunswick
31.177824,-92.410746,Louisiana,Rapides,Alexandria
31.291293,-110.951513,Country Of Mexico,SONORA,Nogales Sonora Institute ITN
31.32389,-89.2922,Mississippi,Forrest,Hattiesburg
31.337204,-110.936718,Arizona,Santa Cruz,NOGALES POST OFFICE
31.513097,-82.749971,Georgia,Coffee,General Coffee
31.5776,-84.0998,Georgia,Dougherty,Albany
31.765685,-106.455227,Texas,El Paso,El Paso Chamizal
31.787885,-106.683324,New Mexico,Dona Ana,6ZN Santa Teresa
31.796218,-106.584434,New Mexico,Dona Ana,6ZM Desert View
31.870259,-102.334745,Texas,Ector,Odessa Gonzales
32.003712,-106.599715,New Mexico,Dona Ana,6CM Anthony
32.031934,-96.399141,Texas,Navarro,Corsicana Airport
32.090779,-81.130222,Georgia,Chatham,Savannah-L&A
32.194671,-111.033167,Arizona,Pima,Ted Walker Park
32.29515,-110.9823,Arizona,Pima,CHILDREN'S PARK NCore
32.322037,-106.768337,New Mexico,Dona Ana,6Q Las Cruces
32.322661,-111.038389,Arizona,Pima,ORANGE GROVE
32.329111,-90.182722,Mississippi,Hinds,Jackson NCORE
